Institution,Contract,Supplier,Amount,Date
Топлификација АД Скопје,Масло за горење - мазут,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,895321460.00,2011-05-16
Јавно сообраќајно претпријатие СКОПЈЕ,11/2011 ДИЗЕЛ ГОРИВО (D-E IV),МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,805008000.00,2011-07-16
ЈП Водовод и канализација - Скопје,"Изведување на градежни и градежно-занаетчиски работи за изградба на управна зграда на ЈП Водовод и канализација Скопје, според Изведбен проект со сите фази",АЛПИНЕ БАУ ГМБХ Австрија преку подружница Скопје,610378476.00,2011-04-29
Агенција за млади и спорт,Изградба на 100 (сто) повеќенаменски терени за спорт во Република Македонија,КОНСТРУКТОР ИНЖЕНЕРИНГ Д.Д. Сплит - Хрватска,592075689.00,2011-06-14
"Јавна установа од областа на здравството за потребите на јавните здравствени установи универзитетски клиники, завод и ургентен центар - Скопје",Градежни работи за изградба на објект Катна гаража 9.13 Голем ринг во Скопје – Градежен дел,Друштво за градежништво БЕТОН Акционерско друштво Скопје,553634499.00,2011-09-16
АД Електрани на Македонија - Скопје,"ЈН 183/2011 купопродажба и испорака на 12,000,00 кг масло за горење(Мазут-М1)",МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,510694560.00,2011-04-18
АД Електрани на Македонија - Скопје,"Услуги од користење на помошна механизација на повик, за потребите на РЕК Битола и РЕК Осломеј",Мирсад Комерц Кичево,472000000.00,2011-08-11
АД Електрани на Македонија - Скопје,ЈН 67/2011 Дополнителен ископ на јаловина и јаглен од свлечиштето на Микро локација -3 во Рудник Суводол -РЕК Битола,Конзорциум: Гранит АД; ГП Битола,396000000.00,2011-01-10
АД Електрани на Македонија - Скопје,"ополнителен ископ на јаловина и јаглен од локалитет “Стар Рудник“ во РЕК Осломеј, со дисконтинуирана технологија и ориентациона количина од 500.000т јаглен при што, на депонијата на ТЕ Осломеј, Извршителот ќе предава издробен јаглен со гранулација од 0мм до 30мм и минимална топлотна вредност од 6058 КЈ/кг., во се според Дополнителниот Рударски Проект",Друштво за градежништво и услуги ПЕЛИСТЕР Битола ДОО,354000000.00,2011-02-25
Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на нафтени деривати за задолжителните резерви на Република Македонија,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,306555542.00,2011-12-08
Топлификација АД Скопје,Масло за горење - мазут,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,895321460.00,2011-04-03
Јавно сообраќајно претпријатие СКОПЈЕ,11/2011 ДИЗЕЛ ГОРИВО (D-E IV),МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,805008000.00,2011-02-10
ЈП Водовод и канализација - Скопје,"Изведување на градежни и градежно-занаетчиски работи за изградба на управна зграда на ЈП Водовод и канализација Скопје, според Изведбен проект со сите фази",АЛПИНЕ БАУ ГМБХ Австрија преку подружница Скопје,610378476.00,2011-01-30
Агенција за млади и спорт,Изградба на 100 (сто) повеќенаменски терени за спорт во Република Македонија,КОНСТРУКТОР ИНЖЕНЕРИНГ Д.Д. Сплит - Хрватска,592075689.00,2011-11-01
"Јавна установа од областа на здравството за потребите на јавните здравствени установи универзитетски клиники, завод и ургентен центар - Скопје",Градежни работи за изградба на објект Катна гаража 9.13 Голем ринг во Скопје – Градежен дел,Друштво за градежништво БЕТОН Акционерско друштво Скопје,553634499.00,2011-12-06
АД Електрани на Македонија - Скопје,"ЈН 183/2011 купопродажба и испорака на 12,000,00 кг масло за горење(Мазут-М1)",МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,510694560.00,2011-10-22
АД Електрани на Македонија - Скопје,"Услуги од користење на помошна механизација на повик, за потребите на РЕК Битола и РЕК Осломеј",Мирсад Комерц Кичево,472000000.00,2011-02-07
АД Електрани на Македонија - Скопје,ЈН 67/2011 Дополнителен ископ на јаловина и јаглен од свлечиштето на Микро локација -3 во Рудник Суводол -РЕК Битола,Конзорциум: Гранит АД; ГП Битола,396000000.00,2011-02-27
АД Електрани на Македонија - Скопје,"ополнителен ископ на јаловина и јаглен од локалитет “Стар Рудник“ во РЕК Осломеј, со дисконтинуирана технологија и ориентациона количина од 500.000т јаглен при што, на депонијата на ТЕ Осломеј, Извршителот ќе предава издробен јаглен со гранулација од 0мм до 30мм и минимална топлотна вредност од 6058 КЈ/кг., во се според Дополнителниот Рударски Проект",Друштво за градежништво и услуги ПЕЛИСТЕР Битола ДОО,354000000.00,2011-11-20
Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на нафтени деривати за задолжителните резерви на Република Македонија,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,306555542.00,2011-11-07
