No.,Institution,Contract,Supplier,Date,Amount
1,Министерство за здравство,"Инсулин, глукагон, инсулински игли и ленти за мерење шекер и инсулински пумпи со потрошен материјал за периодот Август 2012 – Август 2014 год. за потребите на населението на РМ.",РЕПЛЕК АД,03.10.2012,901058835
2,Служба за општи и заеднички работи на Владата на Република Македонија,Изведување на градежни и градежно занаетчиски работи за изградба на објект Државни институции - Јавна администрација,Друштво за градежништво БЕТОН АД Скопје,25.10.2012,834555000
3,АД Електрани на Македонија - Скопје,Набавка на светли деривати(еуро дизел Д-Е V и Еуро супер 95 БС),Друштво за трговија на нафтени деривати и услуги ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ Скопје,19.04.2012,767357304
4,Служба за општи и заеднички работи на Владата на Република Македонија,Одржување на хигиена на работни простории и дворни површини; Тековно одржување на објектитe; Обезбедување и ПП заштита на објектитe; Дактилографски услуги и Оперирање со ТТ централи; во органите на Државната управа,СЕКЈУРИКОМ МУЛТИСЕРВИС ИНТЕРНАЦИОНАЛ ДОО,31.08.2012,625102450
5,Агенција за електронски комуникации,"Софистицирана мерна електронска опрема (интегриран систем за мониторинг на радиофреквенции) и оперативна поддршка, асистенција и одржување",TCI INTERNATIONAL,27.12.2012,593091047
6,АД Електрани на Македонија - Скопје,ЈН 01-184/2012 Ангажирање на градежна механизација на повик за потребите на РЕК Битола,"Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",24.11.2012,466100000
7,Служба за општи и заеднички работи на Владата на Република Македонија,Изведување на градежни и градежно занаетчиски работи за конзолно проширување и партерно уредување,Градежно Трговско Друштво БЕТОН ШТИП АД,17.12.2012,342670716
8,БОРИС ТРАЈКОВСКИ ДООЕЛ Скопје,Изградба на рекреативен аква парк во комплексот на Спортскиот Центар БОРИС ТРАЈКОВСКИ во Скопје со кој стопанисува договорниот орган,"Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица, Друштво за услуги,трговија и градежништво ЕЛЕКТРО-УНИОН ДООЕЛ експорт-импорт Скопје,А.Д. ПОЛИН СУПАРКЛАРИ ВЕ ХАВУЗ СИСТЕМЛЕРИ АНОНИМ ШИРКЕТИ Турција",26.09.2012,326319894
9,М.Ж. ТранспортАД-Скопје,Нафта и нафтени деривати.,"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДОО с.Ижиште Македонски Брод",02.10.2012,301350000
10,Управа за заштита на културното наследство,Изведување работи на Возобновување на Светиклиментовиот универзитет на Плаошник Охрид ( објекти „А” „Б”„В” ) карабина,ДТУ Митан Пром Доел,08.10.2012,295000000
11,Агенција за државни патишта,Изработка на техничка документација на ниво на проект за Инфраструктура и Основен проект за делови од патот Градско – Прилеп,Друштво за планирање проектирање и инженеринг ПРОСТОР ДОО Куманово,25.04.2012,263258000
12,Министерство за здравство,"Инсулин, глукагон, инсулински игли и ленти за мерење шекер и инсулински пумпи со потрошен материјал за периодот Август 2012 – Август 2014 год. за потребите на населението на РМ.",АЛКАЛОИД КОНС ДООЕЛ,03.10.2012,252868448
13,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Градежни работи за изградба на објект Катна гаража 6.7 Мал Ринг во Скопје.,LAMONE MOREDA,07.09.2012,246760573
14,АД Електрани на Македонија - Скопје,ЈН 28/2012 Изработка на техничка документација за централен топлификационен систем,OJSC POWER MACHINES,29.02.2012,246153381
15,Министерство за внатрешни работи на РМ,моторни возила за полиција,Друштво за промет и услуги Порше Македонија ДООЕЛ,25.09.2012,235705000
16,Агенција за државни патишта,"Изградба на магистрален пат А4 (М-6) Штип – Струмица, делница Сурдулци – Радичево, од км. 42+700 до км.52+700.",Градежно друштво ГРАНИТ АД-Скопје,27.02.2012,188807618
17,"Јавна установа од областа на здравството за потребите на јавните здравствени установи универзитетски клиники, завод и ургентен центар - Скопје",Набавка на МАЗУТ М-1 НС,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,27.12.2012,180524955
18,Министерство за информатичко опшество и администрација,Набавка на услуги за надградба и софтверско одржување и поддршка на Систем за управување со документи.,Кинг Ицт дооел Скопје,04.09.2012,179124000
19,Министерство за правда,"Изведување на градежни работи - реконструкција и адаптација на северна фасада и реконструкција и доградба на дел од просториите на објектот на Министерство за правда во Скопје,локација Центар КП 11952, КО Центар 1",Lamone Moreda S.r.l.,11.09.2012,178799429
20,АД Електрани на Македонија - Скопје,"ЈН 108/2012 Услуги од користење на помошна механизација на повик, за потребите на РЕК Битола",1. МИС КОМЕРЦ ДООЕЛ 2. СТРЕЖЕВО ДООЕЛ 3. ТД ТОРПЕДО МОБИЛ БИТОЛА 4. КАЈМАКЧАЛАН БИТОЛА 5. МАРКОВСКИ КОМПАНИ БИТОЛА 6. ДИГЕР ДООЕЛ 7. СТЕНТОН ГРАДБА БИТОЛА 8. ТРАНС МЕТ 9. ПЕЛИСТЕР Битола 10. РУД КОП ДООЕЛ 11. ФОРСА АС 12. МЕТАЛНА ТАЈМИШТ  ,05.06.2012,177000000
21,ГА-МА АД - Скопје,"Рамковна спогодба за тековно одржување, интервенции во хавариски услови и итни приклучоци на гасоводниот систем на ГА-МА АД Скопје","Друштво за производство, трговија и услуги ЕЛ ТЕ ИНЖЕНЕРИНГ Горан и др. ДОО експорт-импорт Скопје",15.11.2012,174106092
22,Министерство за здравство,медицинска опрема – 2 (два) линеарни акцелератори за потребите на ЈЗУ Клиничка болница – Битола и ЈЗУ Клиничка болница –Штип.,Симед Интернатионал бв,21.12.2012,169516649
23,Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на 1(еден) нафтен дериват,OKTA Рафинерија на нафта Акционерско Друштво Скопје,10.07.2012,166249256
24,Министерство за здравство,"Инсулин, глукагон, инсулински игли и ленти за мерење шекер и инсулински пумпи со потрошен материјал за периодот Август 2012 – Август 2014 год. за потребите на населението на РМ.",ФАРМАТРЕЈД ДООЕЛ,03.10.2012,153902181
25,Министерство за внатрешни работи на РМ,Моторен бензин еуросупер 95,ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ,19.11.2012,153400000
26,АД Електрани на Македонија - Скопје,ЈН 157/2012 Ангажирање на градежна механизација за потребите на подружница РЕК Битола.,1. СТЕНТОН ГРАДБА БИТОЛА; 2. ТРАНС МЕТ; 3. ФОРСА АС; 4. КАЈМАКЧАЛАН БИТОЛА; 5. НАШ ДОМ КИЧЕВО; 6. МИС КОМЕРЦ ДООЕЛ; 7. МАРКОВСКИ КОМПАНИ БИТОЛА; 8. ПЕЛИСТЕР Битола; 9. РУД КОП ДООЕЛ; 10. ТД ТОРПЕДО МОБИЛ БИТОЛА; 11. МИРСАТ КОМЕРЦ КИЧЕВО; 12. СТРЕЖЕВО ДООЕЛ; 13. ИНСТАЛАЦИЈА КИЧЕВО; 14. ДИГЕР ДООЕЛ; 15. МЕТАЛНА ТАЈМИШТЕ,11.09.2012,150000000
