No.,Institution,Contract,Date,Supplier,Amount
1,Производство на топлина Балкан Енерџи ДООЕЛ Скопје,јавна набавка на масло за греење - мазут до 55.000.000kg,27.10.2020,"Друштво за производство ,трговија и услуги РКМ ДООЕЛ Скопје",1381072000
2,Влада на РС Македонија - Генерален секретаријат,софтверски лиценци,07.08.2020,"Друштво за производство, трговија и услуги АИТОНИКС АД Скопје",952714127
3,Јавно претпријатие за државни патишта,"Изградба на автопат А4, делница ГП „Блаце“ – Скопје (клучка „Стенковец“), Подделница 1 – проширување на постоен пат А4 од ГП „Блаце“ до с. Блаце до ниво на автопат и изградба на дел од автопат со клучка за поврзување со локален пат до с. Блаце“",16.01.2020,Градежно друштво ГРАНИТ АД-Скопје,881742867
4,Производство на топлина Балкан Енерџи ДООЕЛ Скопје,природен гас 63.000.000Nm3,30.09.2020,Друштво за производство на електрична и топлинска енергија ТЕ-ТО АД-Скопје,817740000
5,Јавно сообраќајно претпријатие СКОПЈЕ,Еуродизел БС-V,02.10.2020,"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДООЕЛ с.Пласница Пласница",814200000
6,ЕВН Македонија АД- Скопје,Целосно еднофазни и трифазни електронски броила со GPRS+LTE модем и реле за директно приклучување. со мерење на активна енергија и профил на оптоварување,16.06.2020,"Iskraemeco, d.d.",574754400
7,Јавно претпријатие за одржување и заштита на магистралните и регионалните патишта - Скопје ц.о.,Набавки на стоки на Битумен 50/70 за производство на асфалт во времетаење од 2(две) години,24.04.2020,Трговско друштво за градежништво производство трговија и угостителство ИЛИНДЕН АД Струга,523958940
8,Јавно претпријатие за државни патишта,"Рехабилитација на државен пат А2, делница Куманово – Страцин (фаза 2)",30.01.2020,Друштво за градежништво БЕТОН Акционерско друштво Скопје,442373103
9,Јавно претпријатие за одржување и заштита на магистралните и регионалните патишта - Скопје ц.о.,Набавки на стоки на Индустриска сол за патишта во времетраење од 2(две) години,27.04.2020,"Друштво за трговија,производство и услуги ДИМАКС РУДНИЦИ ДООЕЛ Сопотница, Демир Хисар",424741495
10,Државна видеолотарија на Република Македонија,Набавка на најмногу 1.500 нови видеолотариски терминали сукцесивно за период од 2 години,02.01.2020,Euro Games Technology Ltd.,402732719
11,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Ископ на јаглен и меѓуслојна јаловина во ПЕ Рудник (РЕК Битола),04.09.2020,Друштво за градежништво и услуги ПЕЛИСТЕР Битола ДОО,384680000
12,Град Скопје,"Изградба на бул. „АСНОМ“: Втора фаза: од улица „Васко Карангелевски“ до улица „Индустриска 1“, од km 0+834,69 до km 1+233.94",20.02.2020,Градежно друштво ГРАНИТ АД-Скопје,365630552
13,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Ископ на кровинска јаловина во Рудник ПЈС (РЕК Битола),03.06.2020,"Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",342200000
